,0
0,1
1,2
2,1
3,0
4,0
5,1
6,1
7,0
8,1
9,1
10,0
11,1
12,1
13,2
14,1
15,1
16,2
17,2
18,1
19,2
20,1
21,2
22,2
23,0
24,1
25,0
26,0
27,1
28,1
29,1
30,2
31,0
32,2
33,2
34,1
35,2
36,2
37,0
38,1
39,0
40,1
41,2
42,2
43,0
44,2
45,0
46,2
47,1
48,0
49,1
50,1
51,0
52,1
53,2
54,2
55,2
56,0
57,0
58,2
59,0
60,0
61,1
62,0
63,0
64,0
65,2
66,2
67,1
68,2
69,0
70,0
71,0
72,0
73,0
74,2
75,1
76,1
77,0
78,2
79,0
80,0
81,2
82,0
83,2
84,1
85,0
86,0
87,0
88,1
89,0
90,1
91,1
92,2
93,2
94,1
95,0
96,0
97,0
98,2
99,0
100,2
101,1
102,0
103,1
104,1
105,1
106,1
107,0
108,0
109,1
110,2
111,1
112,2
113,0
114,0
115,2
116,2
117,2
118,1
119,0
120,1
121,2
122,0
123,1
124,0
125,0
126,0
127,0
128,0
129,2
130,0
131,0
132,1
133,2
134,0
135,2
136,0
137,0
138,1
139,0
140,1
141,2
142,0
143,1
144,1
145,0
146,0
147,0
148,2
149,1
150,1
151,1
152,1
153,2
154,1
155,2
156,2
157,0
158,0
159,2
160,1
161,1
162,1
163,0
164,2
165,1
166,0
167,0
168,0
169,0
170,2
171,2
172,2
173,2
174,2
175,1
176,1
177,1
178,1
179,2
180,2
181,0
182,1
183,1
184,0
185,0
186,1
187,1
188,0
189,0
190,0
191,2
192,0
193,0
194,2
195,1
196,0
197,2
198,1
199,1
